epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,5590.31,0.82891,0.59986,1.1428,0.85699,0.77386,0.84832,0.49319,1.41154,0.93975,1.55656,0.00021471,0.00021471,0.00021471
90,5655.06,0.79947,0.5841,1.11139,0.85743,0.73428,0.81394,0.47703,1.44892,0.95655,1.59063,0.000198206,0.000198206,0.000198206
91,5716.98,0.71035,0.50591,1.05975,0.87538,0.73977,0.7986,0.49087,1.3964,0.91911,1.58296,0.000181703,0.000181703,0.000181703
92,5778.23,0.70168,0.47621,1.05138,0.85563,0.75795,0.82134,0.48999,1.39322,0.92756,1.54999,0.0001652,0.0001652,0.0001652
93,5838.93,0.68387,0.45435,1.04106,0.86669,0.74533,0.80762,0.48528,1.40099,0.92744,1.57923,0.000148696,0.000148696,0.000148696
94,5902.47,0.67963,0.4517,1.0418,0.84723,0.77735,0.81931,0.49635,1.39657,0.93484,1.57316,0.000132193,0.000132193,0.000132193
95,5963.31,0.6577,0.44048,1.02086,0.85626,0.7428,0.82498,0.49555,1.3898,0.92299,1.56686,0.00011569,0.00011569,0.00011569
96,6027.45,0.66485,0.44007,1.03081,0.88586,0.76894,0.8243,0.50448,1.3876,0.92337,1.54859,9.91865e-05,9.91865e-05,9.91865e-05
97,6088.27,0.64671,0.43725,1.02695,0.84908,0.76262,0.81101,0.50222,1.38788,0.93284,1.55243,8.26832e-05,8.26832e-05,8.26832e-05
98,6152.22,0.65672,0.43552,1.01669,0.85132,0.7625,0.80544,0.50108,1.40161,0.93292,1.56179,6.61799e-05,6.61799e-05,6.61799e-05
99,6213.7,0.63928,0.42237,1.01801,0.89743,0.73523,0.81343,0.49937,1.4093,0.92406,1.575,4.96766e-05,4.96766e-05,4.96766e-05
100,6278.2,0.62793,0.41958,1.01628,0.87144,0.74854,0.81142,0.49693,1.39629,0.92513,1.5663,3.31733e-05,3.31733e-05,3.31733e-05
